id,user_id,item_id,timestamp,action,correct,response_text,time_taken
int_61,user_3,content_14,2025-10-22T16:35:43.321647,complete,0,Partial response,179.61
int_62,user_3,content_60,2025-10-18T16:35:43.321660,attempt,1,Student answer text here,110.3
int_63,user_3,content_7,2025-10-22T16:35:43.321673,complete,0,Partial response,178.41
int_64,user_3,content_32,2025-10-28T16:35:43.321685,attempt,0,Partial response,31.03
int_65,user_3,content_6,2025-10-18T16:35:43.321696,complete,1,Student answer text here,192.06
int_66,user_3,content_13,2025-10-28T16:35:43.321709,view,0,Partial response,76.12
int_67,user_3,content_19,2025-10-21T16:35:43.321719,view,0,Partial response,113.26
int_68,user_3,content_26,2025-10-21T16:35:43.321729,complete,1,Student answer text here,101.55
int_69,user_3,content_42,2025-10-26T16:35:43.321760,attempt,1,Student answer text here,269.08
int_70,user_3,content_24,2025-10-21T16:35:43.321771,view,0,Partial response,101.09
int_71,user_3,content_30,2025-10-25T16:35:43.321783,attempt,1,Student answer text here,182.35
int_72,user_3,content_10,2025-10-27T16:35:43.321795,complete,0,Partial response,122.82
int_73,user_3,content_35,2025-10-19T16:35:43.321806,view,1,Student answer text here,179.47
int_74,user_3,content_54,2025-10-20T16:35:43.321817,attempt,1,Student answer text here,290.72
int_75,user_4,content_37,2025-10-21T16:35:43.321832,attempt,0,Partial response,51.32
int_76,user_4,content_58,2025-10-20T16:35:43.321845,complete,0,Partial response,273.12
int_77,user_4,content_52,2025-10-27T16:35:43.321856,attempt,0,Partial response,76.68
int_78,user_4,content_11,2025-10-25T16:35:43.321869,view,0,Partial response,41.52
int_79,user_4,content_6,2025-10-25T16:35:43.321881,complete,1,Student answer text here,69.93
int_80,user_4,content_39,2025-10-23T16:35:43.321892,complete,1,Student answer text here,276.83
int_81,user_4,content_5,2025-10-22T16:35:43.321925,complete,0,Partial response,137.29
int_82,user_4,content_21,2025-10-20T16:35:43.321937,attempt,1,Student answer text here,277.63
int_83,user_4,content_1,2025-10-27T16:35:43.321950,attempt,1,Student answer text here,70.4
int_84,user_4,content_37,2025-10-27T16:35:43.321969,complete,0,Partial response,240.48
int_85,user_4,content_51,2025-10-20T16:35:43.321980,attempt,1,Student answer text here,267.03
int_86,user_4,content_17,2025-10-18T16:35:43.321990,attempt,1,Student answer text here,184.45
int_87,user_4,content_31,2025-10-26T16:35:43.321999,attempt,0,Partial response,138.8
int_88,user_4,content_40,2025-10-28T16:35:43.322009,attempt,1,Student answer text here,270.19
int_89,user_4,content_22,2025-10-28T16:35:43.322020,complete,0,Partial response,158.31
int_90,user_4,content_18,2025-10-28T16:35:43.322029,attempt,1,Student answer text here,250.69
int_91,user_4,content_20,2025-10-24T16:35:43.322040,attempt,1,Student answer text here,261.72
int_92,user_4,content_44,2025-10-25T16:35:43.322051,view,0,Partial response,111.13
int_93,user_4,content_48,2025-10-23T16:35:43.322061,attempt,1,Student answer text here,226.78
int_94,user_4,content_39,2025-10-25T16:35:43.322072,attempt,0,Partial response,87.08
int_95,user_4,content_53,2025-10-21T16:35:43.322082,complete,1,Student answer text here,264.14
int_96,user_4,content_53,2025-10-20T16:35:43.322091,view,0,Partial response,47.72
int_97,user_4,content_46,2025-10-26T16:35:43.322101,complete,1,Student answer text here,267.42
int_98,user_4,content_2,2025-10-25T16:35:43.322111,view,0,Partial response,255.98
int_99,user_4,content_16,2025-10-21T16:35:43.322120,view,0,Partial response,277.87
int_100,user_4,content_46,2025-10-24T16:35:43.322130,attempt,0,Partial response,252.35
int_101,user_4,content_33,2025-10-18T16:35:43.322139,view,1,Student answer text here,213.92
int_102,user_4,content_16,2025-10-21T16:35:43.322149,complete,1,Student answer text here,150.45
int_103,user_4,content_56,2025-10-19T16:35:43.322159,complete,1,Student answer text here,124.44
int_104,user_4,content_11,2025-10-27T16:35:43.322169,attempt,1,Student answer text here,37.41
int_105,user_5,content_11,2025-10-25T16:35:43.322183,complete,0,Partial response,90.78
int_106,user_5,content_14,2025-10-18T16:35:43.322193,attempt,1,Student answer text here,168.59
int_107,user_5,content_56,2025-10-21T16:35:43.322204,view,0,Partial response,204.79
int_108,user_5,content_39,2025-10-25T16:35:43.322213,attempt,0,Partial response,194.25
int_109,user_5,content_20,2025-10-22T16:35:43.322223,attempt,1,Student answer text here,259.93
int_110,user_5,content_30,2025-10-25T16:35:43.322235,attempt,1,Student answer text here,111.58
int_111,user_5,content_34,2025-10-19T16:35:43.322246,view,1,Student answer text here,31.98
int_112,user_5,content_43,2025-10-20T16:35:43.322256,complete,1,Student answer text here,190.32
int_113,user_5,content_19,2025-10-18T16:35:43.322267,view,1,Student answer text here,160.07
int_114,user_5,content_22,2025-10-18T16:35:43.322277,attempt,1,Student answer text here,262.6
int_115,user_5,content_17,2025-10-25T16:35:43.322288,view,1,Student answer text here,169.67
int_116,user_5,content_16,2025-10-19T16:35:43.322298,attempt,0,Partial response,208.34
int_117,user_5,content_44,2025-10-28T16:35:43.322308,complete,0,Partial response,164.29
int_118,user_5,content_19,2025-10-22T16:35:43.322319,attempt,1,Student answer text here,134.83
int_119,user_5,content_3,2025-10-23T16:35:43.322331,complete,0,Partial response,222.61
int_120,user_5,content_44,2025-10-18T16:35:43.322343,attempt,1,Student answer text here,166.98
int_121,user_6,content_54,2025-10-24T16:35:43.322357,view,0,Partial response,157.11
int_122,user_6,content_48,2025-10-20T16:35:43.322369,view,1,Student answer text here,285.67
int_123,user_6,content_58,2025-10-18T16:35:43.322381,view,1,Student answer text here,90.01
int_124,user_6,content_15,2025-10-22T16:35:43.322393,attempt,1,Student answer text here,130.35
int_125,user_6,content_38,2025-10-21T16:35:43.322404,view,1,Student answer text here,157.04
int_126,user_6,content_56,2025-10-21T16:35:43.322416,view,0,Partial response,165.13
int_127,user_6,content_56,2025-10-20T16:35:43.322428,attempt,1,Student answer text here,141.54
int_128,user_6,content_56,2025-10-26T16:35:43.322439,view,0,Partial response,122.52
int_129,user_6,content_37,2025-10-26T16:35:43.322451,attempt,1,Student answer text here,262.85
int_130,user_6,content_12,2025-10-21T16:35:43.322464,attempt,0,Partial response,200.38
int_131,user_6,content_12,2025-10-18T16:35:43.322476,view,1,Student answer text here,31.27
int_132,user_6,content_18,2025-10-26T16:35:43.322487,complete,0,Partial response,236.41
int_133,user_6,content_32,2025-10-26T16:35:43.322499,complete,0,Partial response,147.1
int_134,user_6,content_28,2025-10-22T16:35:43.322510,attempt,1,Student answer text here,133.5
int_135,user_6,content_3,2025-10-23T16:35:43.322522,view,0,Partial response,270.84
int_136,user_6,content_49,2025-10-28T16:35:43.322534,complete,0,Partial response,31.11
int_137,user_6,content_47,2025-10-25T16:35:43.322546,complete,0,Partial response,266.79
int_138,user_6,content_20,2025-10-27T16:35:43.322558,attempt,0,Partial response,165.9
int_139,user_6,content_20,2025-10-27T16:35:43.322569,view,0,Partial response,110.51
int_140,user_6,content_19,2025-10-20T16:35:43.322599,complete,1,Student answer text here,171.51
int_141,user_7,content_57,2025-10-23T16:35:43.322612,attempt,0,Partial response,127.0
int_142,user_7,content_13,2025-10-22T16:35:43.322622,view,0,Partial response,91.67
int_143,user_7,content_47,2025-10-25T16:35:43.322633,complete,0,Partial response,35.92
int_144,user_7,content_33,2025-10-27T16:35:43.322644,attempt,0,Partial response,222.0
int_145,user_7,content_51,2025-10-22T16:35:43.322654,complete,0,Partial response,99.06
int_146,user_7,content_35,2025-10-19T16:35:43.322663,view,0,Partial response,208.73
int_147,user_7,content_42,2025-10-28T16:35:43.322673,complete,0,Partial response,61.26
int_148,user_7,content_29,2025-10-27T16:35:43.322683,complete,1,Student answer text here,98.24
int_149,user_7,content_45,2025-10-25T16:35:43.322694,complete,0,Partial response,215.15
int_150,user_7,content_1,2025-10-22T16:35:43.322707,complete,1,Student answer text here,57.26
int_151,user_7,content_34,2025-10-19T16:35:43.322718,complete,1,Student answer text here,219.2
int_152,user_7,content_27,2025-10-20T16:35:43.322729,complete,0,Partial response,196.78
int_153,user_7,content_19,2025-10-27T16:35:43.322758,attempt,0,Partial response,83.63
int_154,user_7,content_13,2025-10-20T16:35:43.322769,view,1,Student answer text here,126.64
int_155,user_7,content_27,2025-10-26T16:35:43.322780,view,1,Student answer text here,178.0
int_156,user_7,content_59,2025-10-21T16:35:43.322797,attempt,0,Partial response,93.32
int_157,user_7,content_1,2025-10-27T16:35:43.322806,complete,0,Partial response,210.64
int_158,user_7,content_10,2025-10-20T16:35:43.322816,view,0,Partial response,225.36
int_159,user_7,content_7,2025-10-18T16:35:43.322826,view,1,Student answer text here,153.32
int_160,user_7,content_19,2025-10-21T16:35:43.322836,view,1,Student answer text here,56.95
int_161,user_7,content_12,2025-10-24T16:35:43.322847,attempt,0,Partial response,246.43
int_162,user_7,content_21,2025-10-27T16:35:43.322856,view,1,Student answer text here,259.84
int_163,user_7,content_57,2025-10-28T16:35:43.322865,view,0,Partial response,209.11
int_164,user_7,content_11,2025-10-23T16:35:43.322876,attempt,1,Student answer text here,287.87
int_165,user_7,content_18,2025-10-23T16:35:43.322886,attempt,0,Partial response,79.37
int_166,user_7,content_26,2025-10-21T16:35:43.322902,attempt,1,Student answer text here,255.64
int_167,user_7,content_45,2025-10-22T16:35:43.322912,complete,1,Student answer text here,269.25
int_168,user_7,content_11,2025-10-26T16:35:43.322922,complete,0,Partial response,226.13
int_169,user_8,content_7,2025-10-19T16:35:43.322935,attempt,1,Student answer text here,246.61
int_170,user_8,content_44,2025-10-26T16:35:43.322945,complete,1,Student answer text here,132.53
int_171,user_8,content_23,2025-10-18T16:35:43.322965,complete,0,Partial response,292.83
int_172,user_8,content_9,2025-10-21T16:35:43.322976,view,1,Student answer text here,269.65
int_173,user_8,content_29,2025-10-27T16:35:43.322986,attempt,0,Partial response,206.84
int_174,user_8,content_1,2025-10-18T16:35:43.322997,attempt,0,Partial response,170.16
int_175,user_8,content_45,2025-10-22T16:35:43.323007,complete,0,Partial response,226.2
int_176,user_8,content_31,2025-10-18T16:35:43.323024,complete,1,Student answer text here,203.18
int_177,user_8,content_10,2025-10-28T16:35:43.323074,complete,0,Partial response,282.28
int_178,user_8,content_33,2025-10-21T16:35:43.323084,view,1,Student answer text here,50.21
int_179,user_8,content_32,2025-10-25T16:35:43.323095,attempt,1,Student answer text here,291.94
int_180,user_8,content_4,2025-10-20T16:35:43.323106,complete,0,Partial response,132.23
int_181,user_8,content_53,2025-10-27T16:35:43.323116,attempt,0,Partial response,149.93
int_182,user_8,content_37,2025-10-27T16:35:43.323127,attempt,1,Student answer text here,150.71
int_183,user_8,content_8,2025-10-18T16:35:43.323139,view,1,Student answer text here,57.71
int_184,user_8,content_27,2025-10-20T16:35:43.323149,complete,0,Partial response,30.05
int_185,user_8,content_6,2025-10-20T16:35:43.324190,complete,1,Student answer text here,85.85
int_186,user_8,content_43,2025-10-23T16:35:43.324223,attempt,1,Student answer text here,252.83
int_187,user_8,content_53,2025-10-21T16:35:43.324238,attempt,0,Partial response,181.24
int_188,user_8,content_40,2025-10-18T16:35:43.324250,attempt,1,Student answer text here,223.3
int_189,user_9,content_7,2025-10-28T16:35:43.324266,attempt,0,Partial response,125.89
int_190,user_9,content_41,2025-10-20T16:35:43.324277,complete,1,Student answer text here,130.95
int_191,user_9,content_7,2025-10-26T16:35:43.324291,attempt,0,Partial response,67.92
int_192,user_9,content_46,2025-10-27T16:35:43.324303,attempt,1,Student answer text here,194.93
int_193,user_9,content_13,2025-10-22T16:35:43.324314,view,0,Partial response,153.4
int_194,user_9,content_51,2025-10-23T16:35:43.324342,view,0,Partial response,234.43
int_195,user_9,content_3,2025-10-21T16:35:43.324356,attempt,0,Partial response,207.78
int_196,user_9,content_33,2025-10-21T16:35:43.324381,view,0,Partial response,173.2
int_197,user_9,content_4,2025-10-19T16:35:43.324394,attempt,1,Student answer text here,279.58
int_198,user_9,content_50,2025-10-19T16:35:43.324406,view,0,Partial response,227.23
int_199,user_9,content_9,2025-10-22T16:35:43.324418,complete,0,Partial response,192.15
int_200,user_9,content_57,2025-10-20T16:35:43.324429,attempt,1,Student answer text here,143.04
int_201,user_9,content_39,2025-10-24T16:35:43.324441,attempt,0,Partial response,290.17
int_202,user_9,content_19,2025-10-26T16:35:43.324456,view,1,Student answer text here,141.44
int_203,user_9,content_45,2025-10-20T16:35:43.324468,attempt,1,Student answer text here,222.21
int_204,user_9,content_60,2025-10-25T16:35:43.324479,view,0,Partial response,198.53
int_205,user_9,content_19,2025-10-18T16:35:43.324489,view,1,Student answer text here,294.96
int_206,user_9,content_42,2025-10-20T16:35:43.324500,complete,0,Partial response,217.46
int_207,user_10,content_46,2025-10-23T16:35:43.324514,complete,0,Partial response,159.7
int_208,user_10,content_37,2025-10-18T16:35:43.324525,complete,1,Student answer text here,271.34
int_209,user_10,content_35,2025-10-22T16:35:43.324537,view,1,Student answer text here,171.14
int_210,user_10,content_2,2025-10-26T16:35:43.324548,view,1,Student answer text here,210.97
int_211,user_10,content_13,2025-10-26T16:35:43.324559,attempt,1,Student answer text here,214.52
int_212,user_10,content_10,2025-10-24T16:35:43.324578,view,0,Partial response,233.47
int_213,user_10,content_3,2025-10-21T16:35:43.324590,view,1,Student answer text here,196.35
int_214,user_10,content_44,2025-10-18T16:35:43.324601,complete,0,Partial response,135.0
int_215,user_10,content_33,2025-10-18T16:35:43.324613,view,1,Student answer text here,280.15
int_216,user_10,content_25,2025-10-18T16:35:43.324729,attempt,1,Student answer text here,290.77
int_217,user_10,content_4,2025-10-24T16:35:43.324759,view,0,Partial response,197.55
int_218,user_10,content_50,2025-10-25T16:35:43.324768,complete,1,Student answer text here,220.25
int_219,user_10,content_42,2025-10-19T16:35:43.324777,complete,1,Student answer text here,229.38
int_220,user_10,content_13,2025-10-24T16:35:43.324788,attempt,0,Partial response,77.9
int_221,user_10,content_44,2025-10-26T16:35:43.324797,view,0,Partial response,228.47
int_222,user_10,content_8,2025-10-28T16:35:43.324806,attempt,1,Student answer text here,105.36
int_223,user_10,content_17,2025-10-26T16:35:43.324817,complete,0,Partial response,258.42
int_224,user_10,content_1,2025-10-21T16:35:43.324827,complete,1,Student answer text here,283.12
int_225,user_10,content_3,2025-10-23T16:35:43.324836,complete,0,Partial response,43.73
int_226,user_10,content_60,2025-10-21T16:35:43.324846,complete,1,Student answer text here,178.54
int_227,user_10,content_5,2025-10-20T16:35:43.326725,view,1,Student answer text here,288.39
int_228,user_10,content_34,2025-10-20T16:35:43.326799,view,0,Partial response,142.3
int_229,user_10,content_35,2025-10-27T16:35:43.326813,attempt,1,Student answer text here,89.72
int_230,user_10,content_14,2025-10-23T16:35:43.326825,attempt,1,Student answer text here,109.27
int_231,user_10,content_49,2025-10-20T16:35:43.326835,complete,1,Student answer text here,32.38
int_232,user_11,content_29,2025-10-18T16:35:43.326851,complete,0,Partial response,278.02
int_233,user_11,content_16,2025-10-18T16:35:43.326862,attempt,0,Partial response,132.97
int_234,user_11,content_51,2025-10-22T16:35:43.326875,attempt,0,Partial response,175.86
int_235,user_11,content_19,2025-10-20T16:35:43.326900,attempt,0,Partial response,168.86
int_236,user_11,content_33,2025-10-21T16:35:43.326911,view,1,Student answer text here,110.04
int_237,user_11,content_42,2025-10-23T16:35:43.326921,complete,0,Partial response,52.23
int_238,user_11,content_7,2025-10-20T16:35:43.326932,complete,0,Partial response,31.98
int_239,user_11,content_5,2025-10-18T16:35:43.326942,complete,0,Partial response,238.87
int_240,user_11,content_56,2025-10-27T16:35:43.326954,view,1,Student answer text here,175.19
int_241,user_11,content_45,2025-10-18T16:35:43.326964,view,1,Student answer text here,231.66
int_242,user_11,content_10,2025-10-21T16:35:43.326975,complete,0,Partial response,119.56
int_243,user_11,content_6,2025-10-28T16:35:43.326986,view,0,Partial response,244.44
int_244,user_11,content_36,2025-10-19T16:35:43.326997,view,0,Partial response,275.97
int_245,user_11,content_27,2025-10-21T16:35:43.327007,complete,1,Student answer text here,139.2
int_246,user_11,content_21,2025-10-22T16:35:43.327017,complete,0,Partial response,61.94
int_247,user_11,content_1,2025-10-19T16:35:43.327027,view,0,Partial response,219.24
int_248,user_11,content_5,2025-10-20T16:35:43.327038,view,1,Student answer text here,108.26
int_249,user_11,content_44,2025-10-19T16:35:43.327048,view,1,Student answer text here,106.01
int_250,user_11,content_60,2025-10-22T16:35:43.327059,attempt,1,Student answer text here,251.97
int_251,user_11,content_2,2025-10-26T16:35:43.327070,complete,1,Student answer text here,89.36
int_252,user_11,content_48,2025-10-20T16:35:43.327080,attempt,1,Student answer text here,289.24
int_253,user_11,content_10,2025-10-18T16:35:43.327090,complete,1,Student answer text here,204.94
int_254,user_11,content_1,2025-10-27T16:35:43.327100,view,0,Partial response,31.36
int_255,user_11,content_39,2025-10-20T16:35:43.327117,complete,1,Student answer text here,285.68
int_256,user_11,content_20,2025-10-23T16:35:43.327127,view,0,Partial response,141.42
int_257,user_11,content_42,2025-10-26T16:35:43.327138,view,0,Partial response,89.61
int_258,user_12,content_13,2025-10-26T16:35:43.327152,complete,0,Partial response,245.91
int_259,user_12,content_55,2025-10-20T16:35:43.327162,attempt,0,Partial response,204.06
int_260,user_12,content_5,2025-10-18T16:35:43.327172,view,1,Student answer text here,97.69
int_261,user_12,content_13,2025-10-23T16:35:43.327182,attempt,1,Student answer text here,64.62
int_262,user_12,content_42,2025-10-27T16:35:43.327193,attempt,0,Partial response,197.27
int_263,user_12,content_58,2025-10-23T16:35:43.327203,attempt,0,Partial response,151.67
int_264,user_12,content_40,2025-10-19T16:35:43.327214,view,1,Student answer text here,182.7
int_265,user_12,content_24,2025-10-22T16:35:43.327224,view,1,Student answer text here,31.3
int_266,user_12,content_16,2025-10-18T16:35:43.327235,attempt,0,Partial response,104.7
int_267,user_12,content_24,2025-10-18T16:35:43.327244,complete,0,Partial response,119.52
int_268,user_12,content_31,2025-10-21T16:35:43.327256,attempt,1,Student answer text here,239.19
int_269,user_12,content_32,2025-10-26T16:35:43.327267,complete,0,Partial response,193.79
int_270,user_12,content_54,2025-10-26T16:35:43.327280,complete,1,Student answer text here,83.04
int_271,user_12,content_47,2025-10-27T16:35:43.327292,view,0,Partial response,259.39
int_272,user_12,content_41,2025-10-19T16:35:43.327304,complete,0,Partial response,139.39
int_273,user_12,content_38,2025-10-28T16:35:43.327316,complete,0,Partial response,100.37
int_274,user_12,content_58,2025-10-18T16:35:43.327334,view,1,Student answer text here,128.77
int_275,user_12,content_15,2025-10-26T16:35:43.327353,attempt,1,Student answer text here,165.3
int_276,user_12,content_6,2025-10-23T16:35:43.327364,complete,1,Student answer text here,32.86
int_277,user_12,content_16,2025-10-20T16:35:43.327374,view,0,Partial response,150.48
int_278,user_12,content_12,2025-10-21T16:35:43.327385,attempt,0,Partial response,40.91
int_279,user_12,content_49,2025-10-25T16:35:43.327395,view,1,Student answer text here,101.38
int_280,user_12,content_15,2025-10-18T16:35:43.327405,view,0,Partial response,169.83
int_281,user_13,content_25,2025-10-21T16:35:43.327416,view,1,Student answer text here,40.77
int_282,user_13,content_42,2025-10-27T16:35:43.327426,complete,1,Student answer text here,291.48
int_283,user_13,content_41,2025-10-24T16:35:43.327436,complete,1,Student answer text here,176.97
int_284,user_13,content_12,2025-10-18T16:35:43.327447,attempt,1,Student answer text here,128.63
int_285,user_13,content_42,2025-10-20T16:35:43.327457,attempt,0,Partial response,131.61
int_286,user_13,content_59,2025-10-20T16:35:43.327479,attempt,0,Partial response,125.28
int_287,user_13,content_56,2025-10-21T16:35:43.327491,attempt,1,Student answer text here,269.54
int_288,user_13,content_1,2025-10-21T16:35:43.327502,view,0,Partial response,92.1
int_289,user_13,content_33,2025-10-25T16:35:43.327513,view,1,Student answer text here,80.46
int_290,user_13,content_24,2025-10-18T16:35:43.327524,view,0,Partial response,141.95
int_291,user_13,content_22,2025-10-21T16:35:43.327535,complete,0,Partial response,159.28
int_292,user_13,content_14,2025-10-18T16:35:43.327546,attempt,0,Partial response,36.06
int_293,user_13,content_3,2025-10-19T16:35:43.327556,complete,0,Partial response,73.5
int_294,user_13,content_41,2025-10-19T16:35:43.327573,view,0,Partial response,45.1
int_295,user_13,content_17,2025-10-20T16:35:43.327584,attempt,0,Partial response,191.83
int_296,user_13,content_37,2025-10-18T16:35:43.327595,attempt,0,Partial response,285.76
int_297,user_13,content_14,2025-10-19T16:35:43.327605,attempt,1,Student answer text here,264.17
int_298,user_13,content_11,2025-10-22T16:35:43.327626,complete,0,Partial response,68.53
int_299,user_13,content_38,2025-10-19T16:35:43.327637,complete,0,Partial response,167.92
int_300,user_13,content_11,2025-10-21T16:35:43.327651,complete,1,Student answer text here,189.46
int_301,user_13,content_15,2025-10-22T16:35:43.327662,view,1,Student answer text here,59.31
int_302,user_13,content_13,2025-10-26T16:35:43.327672,complete,1,Student answer text here,56.0
int_303,user_13,content_31,2025-10-20T16:35:43.327682,complete,0,Partial response,233.14
int_304,user_13,content_6,2025-10-18T16:35:43.327693,view,1,Student answer text here,273.54
int_305,user_13,content_35,2025-10-18T16:35:43.327704,complete,0,Partial response,146.5
int_306,user_13,content_27,2025-10-28T16:35:43.327714,complete,1,Student answer text here,173.05
int_307,user_14,content_52,2025-10-22T16:35:43.327727,attempt,1,Student answer text here,189.04
int_308,user_14,content_48,2025-10-22T16:35:43.327759,view,0,Partial response,98.72
int_309,user_14,content_50,2025-10-27T16:35:43.327770,attempt,0,Partial response,191.54
int_310,user_14,content_35,2025-10-24T16:35:43.327781,view,1,Student answer text here,31.48
int_311,user_14,content_48,2025-10-19T16:35:43.327791,complete,0,Partial response,61.81
int_312,user_14,content_1,2025-10-18T16:35:43.327801,view,1,Student answer text here,215.7
int_313,user_14,content_21,2025-10-23T16:35:43.327816,view,1,Student answer text here,71.79
int_314,user_14,content_42,2025-10-24T16:35:43.327827,complete,1,Student answer text here,144.36
int_315,user_14,content_24,2025-10-18T16:35:43.327837,attempt,1,Student answer text here,233.84
int_316,user_14,content_27,2025-10-26T16:35:43.327847,attempt,1,Student answer text here,180.96
int_317,user_14,content_31,2025-10-24T16:35:43.327856,complete,1,Student answer text here,122.98
int_318,user_14,content_46,2025-10-26T16:35:43.327866,complete,1,Student answer text here,62.15
int_319,user_14,content_15,2025-10-26T16:35:43.327878,view,1,Student answer text here,87.9
int_320,user_14,content_26,2025-10-20T16:35:43.327889,complete,1,Student answer text here,218.21
int_321,user_14,content_46,2025-10-26T16:35:43.327898,attempt,0,Partial response,290.43
int_322,user_14,content_1,2025-10-26T16:35:43.327908,attempt,0,Partial response,279.98
int_323,user_14,content_28,2025-10-27T16:35:43.327918,attempt,0,Partial response,89.88
int_324,user_14,content_6,2025-10-22T16:35:43.327928,attempt,0,Partial response,195.77
