item_id,skill_ids,difficulty
content_475,"['Chemistry', 'Programming']",2
content_426,"['Communication', 'Chemistry']",1
content_319,"['Communication', 'Chemistry']",1
content_136,"['Aptitude', 'Communication']",2
content_330,"['Mathematics', 'Communication']",2
content_156,"['Programming', 'Chemistry']",2
content_488,"['Aptitude', 'Physics']",1
content_133,"['Chemistry', 'Physics']",2
content_416,"['Aptitude', 'Programming']",3
content_216,"['Aptitude', 'Chemistry']",1
content_409,"['Chemistry', 'Communication']",1
content_242,"['Communication', 'Chemistry']",2
content_73,"['Programming', 'Aptitude']",1
content_316,"['Programming', 'Chemistry']",2
content_203,"['Mathematics', 'Physics']",3
content_177,"['Communication', 'Chemistry']",1
content_174,"['Aptitude', 'Programming']",1
content_200,"['Programming', 'Aptitude']",3
content_421,"['Physics', 'Chemistry']",2
content_449,"['Mathematics', 'Chemistry']",1
content_96,"['Physics', 'Chemistry']",1
content_233,"['Communication', 'Physics']",3
content_439,"['Chemistry', 'Programming']",2
content_256,"['Communication', 'Physics']",2
content_41,"['Chemistry', 'Aptitude']",1
content_486,"['Communication', 'Programming']",1
content_225,"['Aptitude', 'Chemistry']",3
content_229,"['Physics', 'Programming']",3
content_479,"['Mathematics', 'Programming']",1
content_60,"['Chemistry', 'Aptitude']",2
content_353,"['Physics', 'Mathematics']",3
content_346,"['Mathematics', 'Communication']",1
content_257,"['Physics', 'Programming']",3
content_364,"['Aptitude', 'Programming']",3
content_465,"['Chemistry', 'Mathematics']",3
content_446,"['Communication', 'Physics']",1
content_218,"['Chemistry', 'Aptitude']",2
content_419,"['Physics', 'Programming']",2
content_397,"['Chemistry', 'Aptitude']",2
content_433,"['Programming', 'Mathematics']",1
content_206,"['Programming', 'Chemistry']",2
content_55,"['Physics', 'Mathematics']",1
content_69,"['Communication', 'Programming']",1
content_356,"['Chemistry', 'Communication']",3
content_196,"['Chemistry', 'Physics']",3
content_226,"['Aptitude', 'Chemistry']",2
content_279,"['Aptitude', 'Communication']",2
content_113,"['Communication', 'Physics']",1
content_13,"['Mathematics', 'Aptitude']",1
content_401,"['Communication', 'Physics']",1
content_388,"['Physics', 'Chemistry']",2
content_254,"['Communication', 'Programming']",1
content_107,"['Programming', 'Mathematics']",2
content_404,"['Physics', 'Mathematics']",2
content_494,"['Chemistry', 'Communication']",2
content_480,"['Programming', 'Communication']",2
content_350,"['Physics', 'Programming']",1
content_269,"['Programming', 'Physics']",2
content_245,"['Programming', 'Aptitude']",2
content_147,"['Communication', 'Mathematics']",3
content_436,"['Aptitude', 'Communication']",3
content_85,"['Programming', 'Communication']",2
content_72,"['Programming', 'Chemistry']",3
content_112,"['Chemistry', 'Communication']",3
content_148,"['Physics', 'Chemistry']",3
content_450,"['Communication', 'Chemistry']",1
content_36,"['Aptitude', 'Chemistry']",1
content_155,"['Programming', 'Communication']",2
content_153,"['Mathematics', 'Physics']",2
content_201,"['Programming', 'Communication']",2
content_352,"['Aptitude', 'Programming']",2
content_91,"['Mathematics', 'Chemistry']",1
content_474,"['Mathematics', 'Programming']",2
content_454,"['Programming', 'Chemistry']",1
content_105,"['Chemistry', 'Aptitude']",2
content_455,"['Chemistry', 'Physics']",2
content_1,"['Mathematics', 'Communication']",2
content_152,"['Programming', 'Physics']",3
content_398,"['Physics', 'Mathematics']",3
content_37,"['Aptitude', 'Mathematics']",1
content_343,"['Communication', 'Mathematics']",3
content_214,"['Chemistry', 'Mathematics']",2
content_50,"['Chemistry', 'Programming']",2
content_328,"['Communication', 'Aptitude']",1
content_90,"['Physics', 'Chemistry']",3
content_53,"['Chemistry', 'Communication']",1
content_192,"['Aptitude', 'Chemistry']",3
content_376,"['Communication', 'Programming']",2
content_394,"['Physics', 'Chemistry']",1
content_445,"['Physics', 'Communication']",2
content_117,"['Programming', 'Mathematics']",3
content_58,"['Communication', 'Mathematics']",1
content_204,"['Chemistry', 'Programming']",1
content_410,"['Aptitude', 'Mathematics']",1
content_387,"['Mathematics', 'Physics']",2
content_411,"['Aptitude', 'Chemistry']",2
content_443,"['Mathematics', 'Communication']",3
content_135,"['Communication', 'Aptitude']",3
content_453,"['Aptitude', 'Communication']",3
content_14,"['Programming', 'Chemistry']",1
content_129,"['Mathematics', 'Aptitude']",1
content_473,"['Communication', 'Chemistry']",3
content_161,"['Physics', 'Programming']",2
content_194,"['Programming', 'Communication']",1
content_461,"['Chemistry', 'Communication']",2
content_460,"['Programming', 'Communication']",1
content_295,"['Aptitude', 'Programming']",3
content_307,"['Programming', 'Mathematics']",2
content_248,"['Communication', 'Programming']",3
content_434,"['Aptitude', 'Programming']",2
content_405,"['Communication', 'Programming']",3
content_293,"['Physics', 'Aptitude']",1
content_283,"['Communication', 'Chemistry']",3
content_119,"['Physics', 'Chemistry']",2
content_495,"['Chemistry', 'Aptitude']",3
content_414,"['Chemistry', 'Mathematics']",3
content_143,"['Communication', 'Aptitude']",1
content_278,"['Chemistry', 'Physics']",3
content_457,"['Physics', 'Communication']",1
content_250,"['Communication', 'Physics']",3
content_306,"['Communication', 'Physics']",2
content_366,"['Programming', 'Chemistry']",1
content_292,"['Chemistry', 'Communication']",2
content_372,"['Communication', 'Physics']",3
content_381,"['Aptitude', 'Programming']",1
content_406,"['Physics', 'Mathematics']",2
content_75,"['Mathematics', 'Chemistry']",1
content_451,"['Physics', 'Mathematics']",3
content_86,"['Programming', 'Communication']",1
content_417,"['Chemistry', 'Programming']",2
content_30,"['Programming', 'Physics']",1
content_197,"['Aptitude', 'Communication']",1
content_169,"['Chemistry', 'Programming']",3
content_115,"['Communication', 'Aptitude']",2
content_144,"['Physics', 'Chemistry']",2
content_33,"['Chemistry', 'Communication']",1
content_23,"['Mathematics', 'Physics']",2
content_393,"['Aptitude', 'Chemistry']",2
content_425,"['Mathematics', 'Communication']",3
content_285,"['Communication', 'Physics']",3
content_270,"['Physics', 'Aptitude']",2
content_149,"['Communication', 'Physics']",2
content_25,"['Mathematics', 'Aptitude']",3
content_21,"['Communication', 'Programming']",2
content_140,"['Chemistry', 'Programming']",2
content_116,"['Chemistry', 'Mathematics']",1
content_44,"['Mathematics', 'Physics']",2
content_261,"['Mathematics', 'Aptitude']",3
content_430,"['Physics', 'Mathematics']",1
content_303,"['Chemistry', 'Aptitude']",2
content_334,"['Physics', 'Chemistry']",2
content_123,"['Chemistry', 'Aptitude']",1
content_32,"['Chemistry', 'Physics']",3
content_389,"['Aptitude', 'Communication']",2
content_314,"['Communication', 'Physics']",3
content_6,"['Mathematics', 'Programming']",3
content_260,"['Aptitude', 'Chemistry']",2
content_418,"['Aptitude', 'Communication']",1
content_266,"['Aptitude', 'Communication']",2
content_263,"['Communication', 'Mathematics']",1
content_179,"['Aptitude', 'Programming']",2
content_150,"['Chemistry', 'Aptitude']",1
content_198,"['Programming', 'Communication']",2
content_103,"['Aptitude', 'Physics']",1
content_167,"['Aptitude', 'Physics']",1
content_297,"['Aptitude', 'Physics']",2
content_323,"['Aptitude', 'Communication']",1
content_212,"['Aptitude', 'Mathematics']",3
content_338,"['Mathematics', 'Physics']",3
content_472,"['Mathematics', 'Chemistry']",2
content_380,"['Physics', 'Chemistry']",1
content_237,"['Communication', 'Aptitude']",1
content_299,"['Chemistry', 'Physics']",1
content_442,"['Communication', 'Aptitude']",2
content_365,"['Aptitude', 'Programming']",3
content_382,"['Physics', 'Mathematics']",3
content_215,"['Communication', 'Mathematics']",1
content_222,"['Mathematics', 'Aptitude']",2
content_134,"['Physics', 'Programming']",1
content_168,"['Chemistry', 'Mathematics']",1
content_65,"['Chemistry', 'Programming']",1
content_315,"['Physics', 'Communication']",1
content_441,"['Chemistry', 'Communication']",2
content_228,"['Physics', 'Mathematics']",1
content_361,"['Chemistry', 'Physics']",1
content_255,"['Physics', 'Mathematics']",2
content_158,"['Chemistry', 'Mathematics']",2
content_370,"['Programming', 'Aptitude']",1
content_160,"['Communication', 'Mathematics']",1
content_154,"['Aptitude', 'Programming']",2
content_490,"['Aptitude', 'Communication']",2
content_81,"['Communication', 'Chemistry']",2
content_483,"['Programming', 'Communication']",3
content_35,"['Communication', 'Programming']",1
content_28,"['Communication', 'Chemistry']",2
content_476,"['Chemistry', 'Mathematics']",3
content_244,"['Communication', 'Physics']",3
content_29,"['Aptitude', 'Mathematics']",1
content_298,"['Programming', 'Aptitude']",3
content_252,"['Chemistry', 'Communication']",1
content_322,"['Mathematics', 'Programming']",2
content_227,"['Communication', 'Mathematics']",3
content_301,"['Communication', 'Mathematics']",1
content_92,"['Programming', 'Mathematics']",3
content_424,"['Communication', 'Programming']",3
content_189,"['Programming', 'Aptitude']",1
content_324,"['Mathematics', 'Communication']",3
content_142,"['Communication', 'Aptitude']",3
content_498,"['Physics', 'Communication']",3
content_137,"['Chemistry', 'Physics']",3
content_170,"['Mathematics', 'Programming']",3
content_27,"['Physics', 'Programming']",3
content_3,"['Physics', 'Communication']",3
content_286,"['Mathematics', 'Programming']",2
content_20,"['Communication', 'Programming']",1
content_127,"['Communication', 'Programming']",3
content_355,"['Aptitude', 'Programming']",1
content_162,"['Mathematics', 'Aptitude']",1
content_176,"['Communication', 'Chemistry']",2
content_205,"['Aptitude', 'Mathematics']",3
content_326,"['Mathematics', 'Communication']",2
content_471,"['Aptitude', 'Physics']",1
content_190,"['Communication', 'Chemistry']",2
content_178,"['Physics', 'Communication']",3
content_427,"['Communication', 'Programming']",1
content_428,"['Communication', 'Physics']",1
content_277,"['Physics', 'Mathematics']",1
content_313,"['Communication', 'Programming']",2
content_284,"['Aptitude', 'Chemistry']",3
content_94,"['Programming', 'Physics']",2
content_325,"['Physics', 'Aptitude']",2
content_209,"['Mathematics', 'Physics']",3
content_46,"['Chemistry', 'Mathematics']",2
content_363,"['Chemistry', 'Physics']",3
content_185,"['Mathematics', 'Chemistry']",3
content_108,"['Aptitude', 'Mathematics']",3
content_264,"['Physics', 'Aptitude']",2
content_79,"['Mathematics', 'Programming']",1
content_391,"['Chemistry', 'Aptitude']",1
content_106,"['Physics', 'Communication']",2
content_56,"['Mathematics', 'Programming']",2
content_125,"['Chemistry', 'Programming']",2
content_289,"['Programming', 'Communication']",3
content_130,"['Aptitude', 'Chemistry']",1
content_19,"['Communication', 'Aptitude']",1
content_240,"['Chemistry', 'Mathematics']",3
content_491,"['Aptitude', 'Communication']",3
content_180,"['Chemistry', 'Programming']",2
content_224,"['Communication', 'Chemistry']",1
content_231,"['Mathematics', 'Communication']",2
content_341,"['Chemistry', 'Communication']",2
content_259,"['Physics', 'Communication']",3
content_43,"['Aptitude', 'Programming']",3
content_348,"['Aptitude', 'Communication']",2
content_238,"['Communication', 'Programming']",2
content_413,"['Programming', 'Aptitude']",3
content_403,"['Physics', 'Mathematics']",1
content_128,"['Programming', 'Mathematics']",2
content_357,"['Communication', 'Physics']",1
content_110,"['Aptitude', 'Mathematics']",1
content_181,"['Mathematics', 'Physics']",3
content_312,"['Programming', 'Mathematics']",2
content_49,"['Programming', 'Aptitude']",2
content_390,"['Communication', 'Programming']",1
content_459,"['Aptitude', 'Communication']",1
content_100,"['Physics', 'Aptitude']",1
content_318,"['Physics', 'Chemistry']",1
content_385,"['Communication', 'Chemistry']",3
content_294,"['Aptitude', 'Chemistry']",3
content_118,"['Physics', 'Aptitude']",1
content_16,"['Communication', 'Aptitude']",2
content_478,"['Chemistry', 'Mathematics']",3
content_139,"['Communication', 'Mathematics']",2
content_31,"['Programming', 'Aptitude']",3
content_10,"['Mathematics', 'Chemistry']",1
content_61,"['Chemistry', 'Programming']",1
content_188,"['Aptitude', 'Physics']",3
content_183,"['Chemistry', 'Mathematics']",3
content_68,"['Programming', 'Communication']",1
content_207,"['Communication', 'Mathematics']",3
content_221,"['Chemistry', 'Physics']",1
content_373,"['Communication', 'Programming']",2
content_423,"['Mathematics', 'Aptitude']",2
content_97,"['Aptitude', 'Communication']",2
content_109,"['Communication', 'Aptitude']",3
content_241,"['Programming', 'Chemistry']",2
content_477,"['Communication', 'Physics']",3
content_485,"['Physics', 'Chemistry']",3
content_78,"['Communication', 'Aptitude']",3
content_163,"['Physics', 'Communication']",3
content_8,"['Physics', 'Aptitude']",1
content_481,"['Mathematics', 'Aptitude']",1
content_470,"['Physics', 'Communication']",2
content_489,"['Physics', 'Mathematics']",2
content_253,"['Aptitude', 'Communication']",2
content_496,"['Programming', 'Aptitude']",3
content_164,"['Chemistry', 'Programming']",2
content_309,"['Programming', 'Communication']",3
content_38,"['Mathematics', 'Aptitude']",2
content_48,"['Chemistry', 'Communication']",3
content_432,"['Physics', 'Programming']",2
content_274,"['Communication', 'Chemistry']",3
content_302,"['Chemistry', 'Aptitude']",2
content_291,"['Chemistry', 'Physics']",1
content_310,"['Physics', 'Chemistry']",3
content_321,"['Physics', 'Mathematics']",2
content_141,"['Chemistry', 'Communication']",3
content_429,"['Communication', 'Chemistry']",3
content_88,"['Communication', 'Physics']",3
content_146,"['Communication', 'Aptitude']",2
content_76,"['Chemistry', 'Aptitude']",3
content_71,"['Programming', 'Chemistry']",1
content_468,"['Communication', 'Mathematics']",3
content_447,"['Communication', 'Chemistry']",3
content_62,"['Programming', 'Physics']",2
content_399,"['Programming', 'Chemistry']",1
content_202,"['Communication', 'Mathematics']",3
content_359,"['Aptitude', 'Programming']",2
content_83,"['Chemistry', 'Communication']",1
content_377,"['Chemistry', 'Aptitude']",2
content_444,"['Chemistry', 'Communication']",1
content_193,"['Chemistry', 'Programming']",2
content_383,"['Mathematics', 'Aptitude']",2
content_208,"['Programming', 'Aptitude']",3
content_251,"['Programming', 'Physics']",3
content_9,"['Mathematics', 'Communication']",3
content_336,"['Physics', 'Chemistry']",3
content_331,"['Aptitude', 'Physics']",1
content_412,"['Mathematics', 'Programming']",1
content_440,"['Mathematics', 'Communication']",3
content_64,"['Chemistry', 'Aptitude']",2
content_374,"['Communication', 'Physics']",1
content_151,"['Chemistry', 'Physics']",1
content_305,"['Aptitude', 'Chemistry']",3
content_367,"['Communication', 'Physics']",2
content_448,"['Communication', 'Aptitude']",1
content_396,"['Programming', 'Communication']",2
content_131,"['Aptitude', 'Mathematics']",3
content_287,"['Communication', 'Aptitude']",2
content_339,"['Programming', 'Mathematics']",1
content_499,"['Communication', 'Aptitude']",1
content_258,"['Chemistry', 'Mathematics']",1
content_172,"['Physics', 'Chemistry']",3
content_184,"['Mathematics', 'Communication']",2
content_420,"['Physics', 'Programming']",3
content_456,"['Physics', 'Chemistry']",3
content_422,"['Programming', 'Communication']",3
content_467,"['Programming', 'Mathematics']",2
content_492,"['Chemistry', 'Communication']",2
content_317,"['Programming', 'Mathematics']",2
content_39,"['Physics', 'Aptitude']",1
content_484,"['Programming', 'Mathematics']",3
content_66,"['Programming', 'Communication']",2
content_458,"['Communication', 'Programming']",3
content_104,"['Communication', 'Physics']",2
content_74,"['Physics', 'Mathematics']",3
content_272,"['Chemistry', 'Physics']",2
content_437,"['Communication', 'Chemistry']",3
content_102,"['Aptitude', 'Mathematics']",1
content_340,"['Aptitude', 'Physics']",3
content_354,"['Aptitude', 'Chemistry']",2
content_98,"['Programming', 'Physics']",3
content_171,"['Chemistry', 'Mathematics']",1
content_438,"['Mathematics', 'Chemistry']",2
content_265,"['Communication', 'Physics']",3
content_120,"['Physics', 'Mathematics']",3
content_232,"['Programming', 'Communication']",2
content_320,"['Chemistry', 'Aptitude']",1
content_34,"['Mathematics', 'Physics']",2
content_230,"['Physics', 'Programming']",2
content_84,"['Physics', 'Aptitude']",2
content_166,"['Programming', 'Communication']",3
content_210,"['Aptitude', 'Chemistry']",2
content_369,"['Communication', 'Programming']",1
content_435,"['Programming', 'Aptitude']",3
content_11,"['Mathematics', 'Programming']",2
content_80,"['Mathematics', 'Aptitude']",3
content_482,"['Aptitude', 'Mathematics']",3
content_99,"['Aptitude', 'Mathematics']",2
content_462,"['Programming', 'Chemistry']",2
content_175,"['Mathematics', 'Physics']",3
content_47,"['Communication', 'Chemistry']",2
content_70,"['Mathematics', 'Chemistry']",3
content_487,"['Physics', 'Chemistry']",1
content_145,"['Communication', 'Mathematics']",2
content_267,"['Chemistry', 'Aptitude']",3
content_497,"['Physics', 'Aptitude']",3
content_466,"['Physics', 'Aptitude']",3
content_402,"['Chemistry', 'Aptitude']",2
content_236,"['Chemistry', 'Programming']",2
content_217,"['Programming', 'Chemistry']",2
content_219,"['Chemistry', 'Aptitude']",1
content_329,"['Programming', 'Mathematics']",2
content_18,"['Chemistry', 'Communication']",3
content_296,"['Aptitude', 'Chemistry']",3
content_173,"['Communication', 'Physics']",3
